iter	Passed	Remaining
0	4	4498
1	8	4458
2	12	4166
3	20	5194
4	23	4613
5	25	4210
6	27	3931
7	30	3731
8	38	4240
9	41	4084
10	43	3949
11	50	4147
12	52	3967
13	54	3871
14	57	3753
15	59	3667
16	61	3556
17	65	3592
18	67	3484
19	69	3384
20	71	3310
21	72	3244
22	74	3180
23	76	3111
24	80	3146
25	82	3097
26	84	3052
27	86	2999
28	88	2951
29	90	2914
30	91	2872
31	94	2866
32	96	2840
33	98	2797
34	100	2763
35	101	2722
36	103	2690
37	105	2659
38	108	2676
39	110	2653
40	112	2624
41	113	2599
42	115	2572
43	117	2547
44	118	2525
45	122	2542
46	125	2539
47	127	2519
48	128	2502
49	134	2546
50	135	2530
51	140	2568
52	142	2554
53	147	2587
54	149	2570
55	151	2549
56	155	2577
57	157	2562
58	159	2547
59	161	2527
60	163	2509
61	164	2491
62	167	2489
63	170	2489
64	171	2473
65	174	2463
66	176	2452
67	177	2437
68	179	2424
69	185	2463
70	187	2455
71	189	2440
72	191	2436
73	193	2426
74	195	2414
75	200	2434
76	202	2430
77	204	2420
78	206	2411
79	209	2404
80	210	2391
81	219	2455
82	220	2434
83	223	2432
84	226	2435
85	236	2511
86	238	2501
87	240	2491
88	248	2539
89	256	2591
90	268	2683
91	271	2680
92	274	2672
93	278	2684
94	281	2685
95	301	2837
96	305	2845
97	308	2839
98	315	2869
99	317	2854
100	334	2977
101	340	2998
102	355	3094
103	358	3092
104	361	3078
105	368	3110
106	372	3107
107	374	3091
108	376	3074
109	384	3110
110	388	3110
111	392	3109
112	394	3093
113	395	3075
114	398	3066
115	403	3075
116	405	3056
117	406	3040
118	408	3025
119	411	3017
120	415	3014
121	416	3000
122	418	2984
123	421	2974
124	422	2959
125	424	2944
126	425	2927
127	429	2926
128	432	2917
129	434	2910
130	436	2897
131	439	2890
132	441	2876
133	447	2892
134	449	2878
135	450	2864
136	453	2854
137	456	2852
138	459	2847
139	461	2835
140	463	2820
141	464	2807
142	466	2796
143	468	2783
144	470	2773
145	471	2760
146	475	2761
147	479	2759
148	481	2749
149	483	2739
150	486	2733
151	488	2725
152	490	2716
153	492	2704
154	494	2693
155	496	2684
156	498	2675
157	499	2663
158	501	2652
159	504	2648
160	505	2635
161	507	2624
162	509	2614
163	510	2603
164	512	2593
165	514	2583
166	516	2578
167	519	2572
168	521	2562
169	523	2553
170	525	2545
171	526	2536
172	528	2527
173	530	2518
174	533	2515
175	535	2506
176	536	2496
177	539	2489
178	541	2483
179	543	2474
180	544	2465
181	548	2463
182	549	2455
183	551	2445
184	553	2437
185	555	2428
186	556	2419
187	558	2410
188	559	2401
189	562	2398
190	564	2390
191	566	2383
192	568	2376
193	569	2367
194	571	2358
195	573	2350
196	574	2342
197	578	2342
198	580	2335
199	582	2330
200	584	2323
201	586	2317
202	588	2310
203	590	2302
204	592	2298
205	594	2290
206	595	2282
207	597	2275
208	599	2268
209	600	2260
210	602	2253
211	604	2245
212	606	2240
213	607	2232
214	610	2228
215	613	2228
216	615	2222
217	618	2217
218	621	2216
219	623	2212
220	626	2206
221	656	2299
222	658	2292
223	661	2290
224	663	2284
225	665	2278
226	670	2284
227	673	2280
228	676	2276
229	679	2274
230	682	2270
231	684	2267
232	688	2264
233	692	2266
234	694	2260
235	707	2289
236	714	2299
237	716	2292
238	718	2286
239	721	2284
240	723	2279
241	726	2276
242	732	2282
243	734	2276
244	744	2292
245	746	2288
246	751	2291
247	754	2286
248	760	2292
249	763	2290
250	765	2284
251	792	2353
252	803	2370
253	830	2439
254	832	2432
255	840	2443
256	842	2436
257	844	2429
258	846	2423
259	848	2416
260	850	2409
261	852	2401
262	867	2430
263	869	2423
264	873	2422
265	876	2418
266	878	2412
267	880	2406
268	883	2401
269	888	2402
270	894	2405
271	920	2462
272	924	2460
273	925	2453
274	929	2450
275	934	2450
276	936	2445
277	938	2438
278	945	2444
279	952	2448
280	954	2441
281	956	2435
282	960	2432
283	966	2436
284	968	2430
285	972	2427
286	975	2423
287	982	2428
288	985	2424
289	988	2419
290	991	2415
291	998	2420
292	1000	2414
293	1002	2407
294	1004	2401
295	1006	2394
296	1009	2388
297	1023	2410
298	1028	2411
299	1030	2404
300	1033	2399
301	1035	2393
302	1037	2387
303	1039	2380
304	1044	2378
305	1046	2373
306	1048	2366
307	1049	2359
308	1051	2351
309	1055	2348
310	1057	2342
311	1060	2337
312	1070	2349
313	1078	2357
314	1081	2351
315	1090	2359
316	1092	2354
317	1105	2369
318	1107	2364
319	1109	2358
320	1118	2365
321	1120	2359
322	1122	2352
323	1124	2346
324	1132	2353
325	1135	2347
326	1137	2340
327	1147	2350
328	1151	2348
329	1153	2341
330	1156	2337
331	1158	2331
332	1162	2328
333	1174	2342
334	1177	2338
335	1179	2331
336	1182	2325
337	1184	2319
338	1188	2317
339	1191	2312
340	1192	2305
341	1196	2301
342	1197	2294
343	1200	2289
344	1203	2285
345	1205	2278
346	1208	2273
347	1209	2266
348	1211	2259
349	1212	2252
