iter	Passed	Remaining
0	2	281
1	5	259
2	7	247
3	9	238
4	12	241
5	15	236
6	17	231
7	19	227
8	22	224
9	24	221
10	27	219
11	29	216
12	31	213
13	33	204
14	34	196
15	36	189
16	37	183
17	38	177
18	40	171
19	41	166
20	43	162
21	44	158
22	46	154
23	47	150
24	48	146
25	50	143
26	51	140
27	53	138
28	55	135
29	56	132
30	58	130
31	60	127
32	61	124
33	62	121
34	64	119
35	65	116
36	67	114
37	68	112
38	70	109
39	71	107
40	73	105
41	74	103
42	76	101
43	77	98
44	78	96
45	80	94
46	81	91
47	82	89
48	84	87
49	85	85
50	87	83
51	88	81
52	90	79
53	91	77
54	92	76
55	94	74
56	95	72
57	97	70
58	98	68
59	100	66
60	101	64
61	102	63
62	104	61
63	105	59
64	109	58
65	111	57
66	113	56
67	115	54
68	119	53
69	121	51
70	123	50
71	126	49
72	128	47
73	130	45
74	131	43
75	133	42
76	135	40
77	136	38
78	140	37
79	141	35
80	143	33
81	144	31
82	145	29
83	147	28
84	148	26
85	150	24
86	151	22
87	153	20
88	154	19
89	155	17
90	157	15
91	158	13
92	160	12
93	161	10
94	163	8
95	164	6
96	165	5
97	167	3
98	168	1
99	170	0
